Name,Link,Likes,Downloads,Dataset Tasks,Modality,Last Modified,Date Last Accessed
garage-bAInd/Open-Platypus,https://huggingface.co/datasets/garage-bAInd/Open-Platypus,384,3110,Unknown,text,2024-01-24,2025-03-29
meta-math/MetaMathQA,https://huggingface.co/datasets/meta-math/MetaMathQA,378,7888,Unknown,text,2023-12-21,2025-03-29
lmsys/chatbot_arena_conversations,https://huggingface.co/datasets/lmsys/chatbot_arena_conversations,376,1594,Unknown,"tabular, text",2023-09-30,2025-03-29
allenai/objaverse,https://huggingface.co/datasets/allenai/objaverse,375,382814,Unknown,Unknown,2023-03-31,2025-03-29
shibing624/medical,https://huggingface.co/datasets/shibing624/medical,366,1580,text-generation,Unknown,2024-10-12,2025-03-29
Skywork/SkyPile-150B,https://huggingface.co/datasets/Skywork/SkyPile-150B,365,3954,text-generation,text,2023-12-07,2025-03-29
O1-OPEN/OpenO1-SFT,https://huggingface.co/datasets/O1-OPEN/OpenO1-SFT,363,840,question-answering,text,2024-12-17,2025-03-29
neuralwork/arxiver,https://huggingface.co/datasets/neuralwork/arxiver,362,755,Unknown,text,2024-11-01,2025-03-29
togethercomputer/RedPajama-Data-V2,https://huggingface.co/datasets/togethercomputer/RedPajama-Data-V2,359,3839,text-generation,Unknown,2024-11-21,2025-03-29
openbmb/UltraFeedback,https://huggingface.co/datasets/openbmb/UltraFeedback,354,1767,text-generation,text,2023-12-29,2025-03-29
HuggingFaceM4/WebSight,https://huggingface.co/datasets/HuggingFaceM4/WebSight,349,14691,Unknown,"image, text",2024-03-26,2025-03-29
PleIAs/YouTube-Commons,https://huggingface.co/datasets/PleIAs/YouTube-Commons,346,935,text-generation,Unknown,2024-06-26,2025-03-29
dair-ai/emotion,https://huggingface.co/datasets/dair-ai/emotion,345,16168,text-classification,text,2024-08-08,2025-03-29
bigcode/the-stack-dedup,https://huggingface.co/datasets/bigcode/the-stack-dedup,345,12815,text-generation,"tabular, text",2023-08-17,2025-03-29
bigcode/the-stack-v2,https://huggingface.co/datasets/bigcode/the-stack-v2,345,4360,text-generation,"tabular, text",2024-04-23,2025-03-29
Amod/mental_health_counseling_conversations,https://huggingface.co/datasets/Amod/mental_health_counseling_conversations,340,5052,"text-generation, question-answering",text,2024-04-05,2025-03-29
TIGER-Lab/MMLU-Pro,https://huggingface.co/datasets/TIGER-Lab/MMLU-Pro,337,43454,question-answering,"tabular, text",2024-11-27,2025-03-29
Samsung/samsum,https://huggingface.co/datasets/Samsung/samsum,331,20472,summarization,Unknown,2024-01-18,2025-03-29
allenai/WildChat-1M,https://huggingface.co/datasets/allenai/WildChat-1M,327,2646,"text-generation, question-answering, text2text-generation",text,2024-10-17,2025-03-29
RyokoAI/ShareGPT52K,https://huggingface.co/datasets/RyokoAI/ShareGPT52K,319,408,text-generation,Unknown,2023-04-02,2025-03-29
codeparrot/github-code,https://huggingface.co/datasets/codeparrot/github-code,317,20846,text-generation,Unknown,2022-10-20,2025-03-29
HuggingFaceTB/smollm-corpus,https://huggingface.co/datasets/HuggingFaceTB/smollm-corpus,317,12335,Unknown,"tabular, text",2024-09-06,2025-03-29
HuggingFaceTB/smoltalk,https://huggingface.co/datasets/HuggingFaceTB/smoltalk,317,7926,Unknown,"tabular, text",2025-02-10,2025-03-29
YeungNLP/firefly-train-1.1M,https://huggingface.co/datasets/YeungNLP/firefly-train-1.1M,313,1485,Unknown,text,2023-04-10,2025-03-29
open-web-math/open-web-math,https://huggingface.co/datasets/open-web-math/open-web-math,306,17829,Unknown,text,2023-10-17,2025-03-29
HuggingFaceFV/finevideo,https://huggingface.co/datasets/HuggingFaceFV/finevideo,304,7917,"visual-question-answering, video-text-to-text","text, video",2024-12-16,2025-03-29
laion/OIG,https://huggingface.co/datasets/laion/OIG,303,5352,Unknown,text,2023-03-31,2025-03-29
CohereForAI/aya_dataset,https://huggingface.co/datasets/CohereForAI/aya_dataset,303,2436,other,text,2024-06-28,2025-03-29
stanfordnlp/SHP,https://huggingface.co/datasets/stanfordnlp/SHP,302,2120,"text-generation, question-answering","tabular, text",2023-10-10,2025-03-29
bookcorpus/bookcorpus,https://huggingface.co/datasets/bookcorpus/bookcorpus,300,8679,"text-generation, fill-mask",Unknown,2024-05-03,2025-03-29
Intel/orca_dpo_pairs,https://huggingface.co/datasets/Intel/orca_dpo_pairs,299,1635,Unknown,text,2023-11-29,2025-03-29
bespokelabs/Bespoke-Stratos-17k,https://huggingface.co/datasets/bespokelabs/Bespoke-Stratos-17k,299,25993,Unknown,text,2025-01-31,2025-03-29
rajpurkar/squad,https://huggingface.co/datasets/rajpurkar/squad,297,66399,question-answering,text,2024-03-04,2025-03-29
HuggingFaceTB/finemath,https://huggingface.co/datasets/HuggingFaceTB/finemath,297,9407,Unknown,"tabular, text",2025-02-06,2025-03-29
